Time,PPG
10.19,-0.090586358
10.20,-0.101328882
10.22,-0.105192755
10.23,-0.106677353
10.25,-0.116331483
10.27,-0.121742957
10.28,-0.128669035
10.30,-0.1322988
10.31,-0.143643275
10.33,-0.15345776
10.34,-0.162990832
10.36,-0.177114643
10.38,-0.183715225
10.39,-0.185034791
10.41,-0.187206937
10.42,-0.178288865
10.44,-0.137076017
10.45,-0.104312101
10.47,-0.018373805
10.48,0.063766733
10.50,0.110074355
10.52,0.149041285
10.53,0.176301022
10.55,0.207164309
10.56,0.203356185
10.58,0.209686266
10.59,0.199929753
10.61,0.19420609
10.63,0.18670222
10.64,0.184720233
10.66,0.189723098
10.67,0.183860426
10.69,0.175708735
10.70,0.157174178
10.72,0.133919078
10.73,0.119265194
10.75,0.104643249
10.77,0.090151444
10.78,0.071934176
10.80,0.062457278
10.81,0.056088629
10.83,0.049338221
10.84,0.041314078
10.86,0.031000261
10.88,0.005363858
10.89,-0.006042508
10.91,-0.022575545
10.92,-0.039951421
10.94,-0.054558525
10.95,-0.067253359
10.97,-0.068604152
10.98,-0.081888478
11.00,-0.090880417
11.02,-0.101665043
11.03,-0.106428756
11.05,-0.119161613
11.06,-0.133083686
11.08,-0.134061273
11.09,-0.141772753
11.11,-0.14790421
11.13,-0.149013885
11.14,-0.149992911
11.16,-0.165370333
11.17,-0.170300608
11.19,-0.177270716
11.20,-0.175493639
11.22,-0.196171612
11.23,-0.209152371
11.25,-0.211535854
11.27,-0.219357947
11.28,-0.220047201
11.30,-0.217877248
11.31,-0.185150179
11.33,-0.155196058
11.34,-0.118452476
11.36,-0.01892047
11.38,0.046009752
11.39,0.089177872
11.41,0.123891782
11.42,0.152648962
11.44,0.147020621
11.45,0.140736062
11.47,0.135452831
11.48,0.12597665
11.50,0.117516665
11.52,0.109151953
11.53,0.112527343
11.55,0.116333194
11.56,0.103056245
11.58,0.098106483
11.59,0.081463776
11.61,0.061107154
11.63,0.043914169
11.64,0.032621777
11.66,0.025117859
11.67,0.011096284
11.69,0.001370892
11.70,-0.013097769
11.72,-0.00848772
11.73,-0.01465434
11.75,-0.028094671
11.77,-0.037118912
11.78,-0.058883586
11.80,-0.079608655
11.81,-0.090883493
11.83,-0.094977826
11.84,-0.095076585
11.86,-0.117021938
11.88,-0.135233927
11.89,-0.133178977
11.91,-0.142292207
11.92,-0.150639128
11.94,-0.15756808
11.95,-0.163486473
11.97,-0.16569563
11.98,-0.159946932
12.00,-0.158874906
12.02,-0.163556921
12.03,-0.170943115
12.05,-0.179738643
12.06,-0.192859003
12.08,-0.199161654
12.09,-0.209498528
12.11,-0.212296656
12.13,-0.21668306
12.14,-0.211885498
12.16,-0.216066089
12.17,-0.219004289
12.19,-0.205997794
12.20,-0.186023472
12.22,-0.140374932
12.23,-0.07662552
12.25,0.005128992
12.27,0.049071615
12.28,0.086773541
12.30,0.113945546
12.31,0.135174713
12.33,0.137311609
12.34,0.130253454
12.36,0.11654552
12.38,0.102095658
12.39,0.098759369
12.41,0.104976832
12.42,0.108035353
12.44,0.103509017
12.45,0.087290786
12.47,0.073561643
12.48,0.076174348
12.50,0.055055356
12.52,0.023697402
12.53,0.018067098
12.55,0.00805832
12.56,0.003626972
12.58,0.007240768
12.59,-2.46E-06
12.61,-0.017225424
12.63,-0.0287418
12.64,-0.047471192
12.66,-0.059637493
12.67,-0.069644468
12.69,-0.083040637
12.70,-0.095284967
12.72,-0.101944933
12.73,-0.103884825
12.75,-0.10767845
12.77,-0.112359157
12.78,-0.117296089
12.80,-0.133566762
12.81,-0.142203438
12.83,-0.140331261
12.84,-0.142461723
12.86,-0.146662464
12.88,-0.154052322
12.89,-0.16133702
12.91,-0.164775631
12.92,-0.17557363
12.94,-0.187261997
12.95,-0.191073928
12.97,-0.19134435
12.98,-0.185642939
13.00,-0.181874406
13.02,-0.183624775
13.03,-0.180720726
13.05,-0.190157202
13.06,-0.200842981
13.08,-0.205326507
13.09,-0.203636829
13.11,-0.197695601
13.13,-0.183800277
13.14,-0.144712576
13.16,-0.037758971
13.17,0.07014382
13.19,0.100676246
13.20,0.113576896
13.22,0.131514487
13.23,0.146470457
13.25,0.139942065
13.27,0.140012902
13.28,0.135526726
13.30,0.130320516
13.31,0.127401033
13.33,0.125634007
13.34,0.128197195
13.36,0.105663621
13.38,0.080986055
13.39,0.069456609
13.41,0.054835008
13.42,0.048675652
13.44,0.04416053
13.45,0.034196424
13.47,0.023010752
13.48,0.014263982
13.50,0.000842001
13.52,-0.007679401
13.53,-0.012325471
13.55,-0.023635383
13.56,-0.032359675
13.58,-0.032867751
13.59,-0.040054228
13.61,-0.050958091
13.63,-0.06414524
13.64,-0.072837324
13.66,-0.090824899
13.67,-0.101847108
13.69,-0.108520371
13.70,-0.111722091
13.72,-0.113835879
13.73,-0.11147023
13.75,-0.109949908
13.77,-0.112966989
13.78,-0.130813379
13.80,-0.15369231
13.81,-0.161455894
13.83,-0.166818034
13.84,-0.16519178
13.86,-0.171191858
13.88,-0.168678765
13.89,-0.166923531
13.91,-0.167783184
13.92,-0.169948493
13.94,-0.173131521
13.95,-0.1785554
13.97,-0.190844795
13.98,-0.194327213
14.00,-0.192532194
14.02,-0.18438067
14.03,-0.159491881
14.05,-0.119150749
14.06,-0.071027633
14.08,-0.00912198
14.09,0.050458186
14.11,0.093047782
14.13,0.134922739
14.14,0.162744777
14.16,0.165909123
14.17,0.163425491
14.19,0.158573698
14.20,0.150664825
14.22,0.144582847
14.23,0.145203972
14.25,0.140204625
14.27,0.127177598
14.28,0.114724917
14.30,0.094533714
14.31,0.082715104
14.33,0.075154362
14.34,0.076776999
14.36,0.06355724
14.38,0.060499984
14.39,0.05499717
14.41,0.055230212
14.42,0.038567736
14.44,0.032009486
14.45,0.021542325
14.47,0.014140339
14.48,0.01397855
14.50,0.002072567
14.52,-0.005925018
14.53,-0.020078019
14.55,-0.039337749
14.56,-0.052588256
14.58,-0.0648382
14.59,-0.059824706
14.61,-0.065966054
14.63,-0.071103903
14.64,-0.074176046
14.66,-0.080864719
14.67,-0.090325031
14.69,-0.105661657
14.70,-0.106668973
14.72,-0.110333652
14.73,-0.112991517
14.75,-0.115703222
14.77,-0.12122908
14.78,-0.126192145
14.80,-0.128588531
14.81,-0.139862841
14.83,-0.15016165
14.84,-0.16010835
14.86,-0.165752419
14.88,-0.152837464
14.89,-0.111128049
14.91,-0.086567929
14.92,-0.008448718
14.94,0.05879996
14.95,0.093675149
14.97,0.127237543
14.98,0.163846209
15.00,0.175227563
15.02,0.170391445
15.03,0.171535024
